player,league,team,country
A. Mohammed,Primeira Liga,Vizela,Portugal
E. Hackman,Primeira Liga,Gil Vicente,Portugal
J. Owusu,Primeira Liga,Marítimo,Portugal
A. Ibrahim,Primeira Liga,Famalicão,Portugal
J. Amoah,Primeira Liga,Vitoria Guimaraes,Portugal
Y. Moses,Primeira Liga,Arouca,Portugal
A. Mumin,Primeira Liga,Vitoria Guimaraes,Portugal
R. Ofori,Primeira Liga,Vizela,Portugal
K. Safo,Primeira Liga,Vizela,Portugal
P. Ayongo,Segunda Liga,Academico Viseu,Portugal
A. Yakubu,Segunda Liga,Rio Ave,Portugal
M. Sulemana,Segunda Liga,Rio Ave,Portugal
G. Ofosu,Segunda Liga,Varzim,Portugal
George Ayine,Segunda Liga,Leixões,Portugal
F. Cann,Segunda Liga,Mafra,Portugal
M. Lamine,Liga 3,UD Oliveirense,Portugal
M. Iddriss,Liga 3,Felgueiras 1932,Portugal
I. Boakye,Liga 3,Canelas 2010,Portugal
I. Adam,Campeonato d…,Loures,Portugal
D. Agyekum,Campeonato d…,Tirsense,Portugal
M. Sako,Campeonato d…,AR São Martinho,Portugal
R. Opoku,Campeonato d…,Câmara de Lobos,Portugal
D. Robertson,Campeonato d…,Valadares Gaia,Portugal
H. Innusah,Campeonato d…,Lagos,Portugal
J. Owusu,Campeonato d…,Marítimo II,Portugal
P. Papi,Campeonato d…,União Idanhense,Portugal
S. Zibo,Campeonato d…,Lagos,Portugal
B. Zakaria,Campeonato d…,Gondomar,Portugal
F. Agyemang,Campeonato d…,Berço,Portugal
D. Nketia,Campeonato d…,Ideal,Portugal
S. Mohammed,Campeonato d…,Gondomar,Portugal
P. Addico,Campeonato d…,Fontinhas,Portugal
A. Annan,Campeonato d…,Loures,Portugal
S. Danso,Campeonato d…,Leça,Portugal
C. Gomina,Campeonato d…,Forjães SC,Portugal
A. Ayew,Stars League,Al Sadd,Qatar
J. Benson,Second Division,Al Mesaimeer,Qatar
R. Sumaila,Second Division,Muaither,Qatar
B. Ansah,Second Division,Lusail City,Qatar
B. Adjei-Boateng,Liga I,CFR Cluj,Romania
S. Asamoah,Liga I,U Craiova 1948,Romania
N. Gafaru,Liga II,Metaloglobus,Romania
B. Alhassan,Liga II,Hermannstadt,Romania
S. Issah,Liga II,Hermannstadt,Romania
J. Fameyeh,FNL,Orenburg,Russia
P. Donkor,National Soc…,Rayon Sports,Rwanda
M. Sarpong,National Soc…,Rayon Sports,Rwanda
C. Atsu,Pro League,Al Raed,Saudi Arabia
S. Owusu,Pro League,Al Feiha,Saudi Arabia
J. Boye,Pro League,Al Feiha,Saudi Arabia
A. Acquah,Pro League,Al Batin,Saudi Arabia
E. Antwi,Division 1,Najran,Saudi Arabia
M. Anim Cudjoe,Premiership,Dundee United,Scotland
I. Mustapha,Super Liga,Novi Pazar,Serbia
E. Appiah,Super Liga,Metalac GM,Serbia
I. Tanko,Prva Liga,Javor Ivanjica,Serbia
S. Abubakar,Prva Liga,Radnički Sr. Mitrovica,Serbia
R. Obeng,Prva Liga,Železničar Pančevo,Serbia
A. Alhassan,Prva Liga,Grafičar,Serbia
A. Abdul Majeed,Prva Liga,Grafičar,Serbia
J. Bempah,Srpska Liga,Borac Čačak,Serbia
A. Musah,Srpska Liga,Trayal Kruševac,Serbia
R. Owusu,Super Liga,Zilina,Slovakia
A. Aremeyaw,Super Liga,Zilina,Slovakia
H. Addo,Super Liga,Zilina,Slovakia
K. Boateng,Super Liga,Spartak Trnava,Slovakia
R. Ibrahim,Super Liga,Trenčín,Slovakia
Z. Sharani,Super Liga,DAC 1904,Slovakia
B. Anang,Super Liga,Zilina,Slovakia
B. Anang,2. liga,Žilina II,Slovakia
R. Owusu,2. liga,Žilina II,Slovakia
A. Aremeyaw,2. liga,Žilina II,Slovakia
E. Boateng,2. liga,Šamorín,Slovakia
F. Appiah,2. liga,Šamorín,Slovakia
B. Owusu,2. liga,Šamorín,Slovakia
R. Ibrahim,Tipsport Liga,Trenčín,Slovakia
K. Boateng,Tipsport Liga,Spartak Trnava,Slovakia
N. Babil,1. SNL,Aluminij,Slovenia
E. Boakye,1. SNL,Olimpija,Slovenia
S. Wirekoh,2. SNL,Rudar,Slovenia
W. Maapeh,2. SNL,Brežice,Slovenia
I. Mensah,3. SNL,ND Slovan Ljubljana,Slovenia
K. Peprah,PSL,Orlando Pirates,South Africa
R. Zumah,PSL,Maritzburg United,South Africa
E. Gyimah,PSL,Sekhukhune United,South Africa
R. Ofori,PSL,Orlando Pirates,South Africa
V. Bakah,1st Division,Richards Bay,South Africa
M. Abubakar,1st Division,Black Leopards,South Africa
D. Gozar,1st Division,Black Leopards,South Africa
D. Taylor,Sudani Premi…,Al Merreikh,Sudan
R. Yakubu,Sudani Premi…,Al Ahly Shendi,Sudan
E. Adu,Allsvenskan,Mjällby,Sweden
J. Amoako,Allsvenskan,Helsingborg,Sweden
G. Mensah,Allsvenskan,Varberg,Sweden
E. Boateng,Allsvenskan,Elfsborg,Sweden
M. Baidoo,Allsvenskan,Elfsborg,Sweden
N. Mohammed,Allsvenskan,Häcken,Sweden
I. Sadiq,Allsvenskan,Häcken,Sweden
M. Abubakari,Allsvenskan,Malmö,Sweden
M. Moro,Allsvenskan,Mjällby,Sweden
B. Acquah,Allsvenskan,Helsingborg,Sweden
N. Moro,Superettan,Örebro,Sweden
L. Sabah,Superettan,Västerås SK,Sweden
S. Mensiro,Superettan,Östersunds FK,Sweden
F. Arhin,Superettan,Östersunds FK,Sweden
T. Boakye,Superettan,Halmstad,Sweden
P. Kpozo,Superettan,Östersunds FK,Sweden
S. Karim,Superettan,Halmstad,Sweden
E. Kwakwa,Superettan,Jönköpings Södra,Sweden
P. Ofosu-Ayeh,Superettan,Halmstad,Sweden
F. Ofori,Ettan,Trollhättan,Sweden
E. Adu,Ettan,Trollhättan,Sweden
K. Kizito,Ettan,Falkenberg,Sweden
S. Fatawu,Ettan,Trollhättan,Sweden
E. Yeboah,Ettan,Umeå FC,Sweden
N. Mohammed,Ettan,Sandviken,Sweden
I. Alhassan,Ettan,Gefle,Sweden
